sn	name	typeName	tips	contentBG
303255	Character Apron	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303256	Omni-Vitamins	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303257	Motorbike Figure	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303258	Luxury Aroma Set	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303259	Famous Rakugo Performances DVD	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303260	Heart-Shaped Hand Mirror	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303261	Colored Carp Charm	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303262	Retro Ramune Set	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303263	Antique Tray	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303264	Fuwamokko-kun Doll	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303265	Moonlight Brooch	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303266	Vanilla Perfume	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303267	Blues Harp	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303268	Music Box	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303269	Guitar Care Set	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303270	Weathered Teru Teru Bozu	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303271	Choker	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303272	Classic Psychology Series	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303273	Kids' Anime Body Pillow	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303274	Luxury Dollhouse	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303275	New UFO Drone	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303276	Mini Speaker	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303277	Sharpshooter's Secrets	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303278	High-Capacity Thermos	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303279	Soldier Figure	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303280	Eyestrain Eyedrops	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303281	Gag Glasses	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303282	Limited-Edition Keychain	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303283	Candy Set	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303284	Essential Oils	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303285	Mont Blanc	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303286	Snow Globe	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303287	Aroma Diffuser	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303288	Anime Character Pin	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303289	Stylish Plant Guide	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303290	Smart Planter	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303291	3D Cactus Puzzle	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303292	Popular Board Game	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303293	Snowflake Keychain	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303294	Classic Record	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303295	High-Quality Yoga Mat	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303296	Sports Earphones	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303297	Luxury Sports Watch	Daily Life Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
303301	Common Freshwater Prawn	Material	Can be exchanged for 19 points at the Catch 'n' Trade.	A shrimp with a large head and two claws. Delicious	 tender	 and juicy.
303302	Good Freshwater Prawn	Material	Can be exchanged for 25 points at the Catch 'n' Trade.	A freshwater prawn that can only be caught in a certain season. It tastes better than regular shrimp.
303303	Great Freshwater Prawn	Material	Can be exchanged for 28 points at the Catch 'n' Trade.	A giant prawn as big as your arm. It's a premium item at seafood restaurants.
303304	Prime Freshwater Prawn	Material	Can be exchanged for 30 points at the Catch 'n' Trade.	For some reason	 this freshwater prawn has a tag on it. It seems the fish market has taken an interest in it.
303305	Best Freshwater Prawn	Material	Can be exchanged for 36 points at the Catch 'n' Trade.	For some reason	 this freshwater prawn has a tag on it. It seems the fish market has taken an interest in it.
303306	Common Salmon	Material	Can be exchanged for 33 points at the Catch 'n' Trade.	A type of trout with delicious and plump meat. It's popular either fried or as sashimi.
303307	Good Salmon	Material	Can be exchanged for 43 points at the Catch 'n' Trade.	A top-choice salmon. It has more fat	 giving it a smooth texture that melts in your mouth.
303308	Great Salmon	Material	Can be exchanged for 48 points at the Catch 'n' Trade.	The finest salmon	 only a small amount of which is caught each year. Its exquisite taste is unforgettable.
303309	Prime Salmon	Material	Can be exchanged for 52 points at the Catch 'n' Trade.	For some reason	 this salmon has a tag on it. It seems the fish market has taken an interest in it.
303310	Best Salmon	Material	Can be exchanged for 62 points at the Catch 'n' Trade.	For some reason	 this salmon has a tag on it. It seems the fish market has taken an interest in it.
303311	Common Star Snapper	Material	Can be exchanged for 22 points at the Catch 'n' Trade.	A popular edible fish. It has bright red scales.
303312	Good Star Snapper	Material	Can be exchanged for 28 points at the Catch 'n' Trade.	A star snapper suitable for a high-end restaurant. It has a finer texture than a normal star snapper.
303313	Great Star Snapper	Material	Can be exchanged for 32 points at the Catch 'n' Trade.	A rare star snapper over three feet in length. You could sell it to fish enthusiasts for a high price.
303314	Prime Star Snapper	Material	Can be exchanged for 35 points at the Catch 'n' Trade.	For some reason	 this star snapper has a tag on it. It seems the fish shop has taken an interest in it.
303315	Best Star Snapper	Material	Can be exchanged for 41 points at the Catch 'n' Trade.	For some reason	 this star snapper has a tag on it. It seems the fish shop has taken an interest in it.
303316	Common Crucian Carp	Material	Can be exchanged for 28 points at the Catch 'n' Trade.	A common fish. It's nutritious but has a lot of bones	 so you need to be careful when eating it.
303317	Good Crucian Carp	Material	Can be exchanged for 36 points at the Catch 'n' Trade.	Thanks to the fine water quality	 this fish is fatter and finer than ordinary crucian carp. It's extremely delicious.
303318	Great Crucian Carp	Material	Can be exchanged for 40 points at the Catch 'n' Trade.	A special crucian carp raised with care. It's a rare specimen with fewer bones and more tender meat.
303319	Prime Crucian Carp	Material	Can be exchanged for 44 points at the Catch 'n' Trade.	For some reason	 this crucian carp has a tag on it. It seems the fish market has taken an interest in it.
303320	Best Crucian Carp	Material	Can be exchanged for 52 points at the Catch 'n' Trade.	For some reason	 this crucian carp has a tag on it. It seems the fish market has taken an interest in it.
303321	Common Koi	Material	Can be exchanged for 22 points at the Catch 'n' Trade.	One of the most common varieties of fish in the world. In some countries	 they are even becoming a nuisance due to overpopulation.
303322	Good Koi	Material	Can be exchanged for 28 points at the Catch 'n' Trade.	It has a less muddy taste compared to regular carp	 and you can taste a subtle sweetness.
303323	Great Koi	Material	Can be exchanged for 32 points at the Catch 'n' Trade.	A carp scooped from a frozen lake in winter. Its flesh is firm and elastic	 with a good amount of fat.
303324	Prime Koi	Material	Can be exchanged for 35 points at the Catch 'n' Trade.	For some reason	 this carp has a tag on it. It seems the fish market has taken an interest in it.
303325	Best Koi	Material	Can be exchanged for 41 points at the Catch 'n' Trade.	For some reason	 this carp has a tag on it. It seems the fish market has taken an interest in it.
303326	Common Barbel Steed	Material	Can be exchanged for 39 points at the Catch 'n' Trade.	Known as Ayu in Japan	 this fish is a special summer delicacy. It's usually prepared using a unique cooking method.
303327	Good Barbel Steed	Material	Can be exchanged for 50 points at the Catch 'n' Trade.	Specially cultivated barbel steed. It has a stronger aroma and a richer taste than other barbel steed.
303328	Great Barbel Steed	Material	Can be exchanged for 56 points at the Catch 'n' Trade.	A wild barbel steed caught in a lake with clean water. It's especially delicious.
303329	Prime Barbel Steed	Material	Can be exchanged for 61 points at the Catch 'n' Trade.	For some reason	 this barbel steed has a tag on it. It seems the fish market has taken an interest in it.
303330	Best Barbel Steed	Material	Can be exchanged for 72 points at the Catch 'n' Trade.	For some reason	 this barbel steed has a tag on it. It seems the fish market has taken an interest in it.
303331	Common White Crucian Carp	Material	Can be exchanged for 30 points at the Catch 'n' Trade.	A medium-sized fish. Grilled	 boiled	 or fried	 it's perfect for all kinds of cooking.
303332	Good White Crucian Carp	Material	Can be exchanged for 39 points at the Catch 'n' Trade.	A more fattly white crucian carp. It's more suitable for raw consumption than common varieties.
303333	Great White Crucian Carp	Material	Can be exchanged for 44 points at the Catch 'n' Trade.	A fish that has been specially cultivated to completely eliminate any odor. It is extremely expensive.
303334	Prime White Crucian Carp	Material	Can be exchanged for 48 points at the Catch 'n' Trade.	For some reason	 this white crucian carp has a tag on it. It seems the fish market has taken an interest in it.
303335	Best White Crucian Carp	Material	Can be exchanged for 57 points at the Catch 'n' Trade.	For some reason	 this white crucian carp has a tag on it. It seems the fish market has taken an interest in it.
303336	Common Mackerel	Material	Can be exchanged for 37 points at the Catch 'n' Trade.	Fish that are commonly farmed. They can be canned	 grilled with salt	 or smoked.
303337	Good Mackerel	Material	Can be exchanged for 48 points at the Catch 'n' Trade.	This fish can be found in regions where special algae grow. A rare variety with a unique mineral taste.
303338	Great Mackerel	Material	Can be exchanged for 54 points at the Catch 'n' Trade.	A mackerel that is rarely caught. It's near-perfect in both fat content and size.
303339	Prime Mackerel	Material	Can be exchanged for 59 points at the Catch 'n' Trade.	For some reason	 this mackerel has a tag on it. It seems the fish market has taken an interest in it.
303340	Best Mackerel	Material	Can be exchanged for 70 points at the Catch 'n' Trade.	For some reason	 this mackerel has a tag on it. It seems the fish market has taken an interest in it.
303341	Common Eel	Material	Can be exchanged for 46 points at the Catch 'n' Trade.	A fish sometimes used in medicine. It is popular for its tender texture and rich aroma.
303342	Good Eel	Material	Can be exchanged for 59 points at the Catch 'n' Trade.	Thick-fleshed eel. Generally bought by high-end restaurants to make eel rice bowls.
303343	Great Eel	Material	Can be exchanged for 66 points at the Catch 'n' Trade.	A giant eel far exceeding the usual size. It will probably cause a bidding war at the fish market.
303344	Prime Eel	Material	Can be exchanged for 72 points at the Catch 'n' Trade.	For some reason	 this eel has a tag on it. It seems the fish market has taken an interest in it.
303345	Best Eel	Material	Can be exchanged for 85 points at the Catch 'n' Trade.	For some reason	 this eel has a tag on it. It seems the fish market has taken an interest in it.
303346	Common Greasy Grouper	Material	Can be exchanged for 210 points at the Catch 'n' Trade.	A large cultivated fish. Delicious	 with skin rich in gelatin.
303347	Good Greasy Grouper	Material	Can be exchanged for 270 points at the Catch 'n' Trade.	Wild grouper. Although small	 it is rich in nutrients and is considered a delicacy of the sea.
303348	Great Greasy Grouper	Material	Can be exchanged for 300 points at the Catch 'n' Trade.	A rare	 extra-large wild grouper. It is said to be used in state banquet-level dishes at high-end restaurants.
303349	Prime Greasy Grouper	Material	Can be exchanged for 330 points at the Catch 'n' Trade.	For some reason	 this grouper has a tag on it. It seems the fish market has taken an interest in it.
303350	Best Greasy Grouper	Material	Can be exchanged for 390 points at the Catch 'n' Trade.	For some reason	 this grouper has a tag on it. It seems the fish market has taken an interest in it.
303351	Common Red Snapper	Material	Can be exchanged for 140 points at the Catch 'n' Trade.	A fish widely distributed along coastal areas. Naturally cautious and cunning	 it requires great skill to catch.
303352	Good Red Snapper	Material	Can be exchanged for 180 points at the Catch 'n' Trade.	A red snapper that inhabits fast-flowing waters. Only experienced anglers can catch it. Rich in nutrients.
303353	Great Red Snapper	Material	Can be exchanged for 200 points at the Catch 'n' Trade.	A red snapper that can only be caught during the migratory season. The roe inside is exquisite.
303354	Prime Red Snapper	Material	Can be exchanged for 220 points at the Catch 'n' Trade.	For some reason	 this red snapper has a tag on it. It seems the fish market has taken an interest in it.
303355	Best Red Snapper	Material	Can be exchanged for 260 points at the Catch 'n' Trade.	For some reason	 this red snapper has a tag on it. It seems the fish market has taken an interest in it.
303356	Common Dace	Material	Can be exchanged for 122 points at the Catch 'n' Trade.	An economical fish that is easy to raise and breeds quickly. Commonly seen in fishing ponds.
303357	Good Dace	Material	Can be exchanged for 157 points at the Catch 'n' Trade.	A large big-scaled redfin. It's larger than average and fetches a high price.
303358	Great Dace	Material	Can be exchanged for 175 points at the Catch 'n' Trade.	The particularly vivid yellow tail indicates a high amount of nutrients in its body	 and is also a sign of its value.
303359	Prime Dace	Material	Can be exchanged for 192 points at the Catch 'n' Trade.	For some reason	 this big-scaled redfin has a tag on it. It seems the fish market has taken an interest in it.
303360	Best Dace	Material	Can be exchanged for 227 points at the Catch 'n' Trade.	For some reason	 this dace has a tag on it. It seems the fish market has taken an interest in it.
303361	Common Barracuda	Material	Can be exchanged for 175 points at the Catch 'n' Trade.	Fish that always swim in schools. They attack prey at high speed	 making them difficult to catch.
303362	Good Barracuda	Material	Can be exchanged for 225 points at the Catch 'n' Trade.	A delicious barracuda that's rich in fat. It's over 6 feet long and quite difficult to catch.
303363	Great Barracuda	Material	Can be exchanged for 250 points at the Catch 'n' Trade.	A fish that has been artificially detoxified. Its scales are beautiful and vibrant	 making it highly valuable both as food and for ornamental purposes.
303364	Best Barracuda	Material	Can be exchanged for 275 points at the Catch 'n' Trade.	For some reason	 this barracuda has a tag on it. It seems the fish market has taken an interest in it.
303365	Best Barracuda	Material	Can be exchanged for 325 points at the Catch 'n' Trade.	For some reason	 this barracuda has a tag on it. It seems the fish market has taken an interest in it.
303366	Common Minnow	Material	Can be exchanged for 140 points at the Catch 'n' Trade.	Small	 aggressive fish that swim in numbers. If mixed in a fishing pond	 they will prey on other fish.
303367	Good Minnow	Material	Can be exchanged for 180 points at the Catch 'n' Trade.	A minnow that has eaten a lot of shrimp. It has stored a lot of nutrients in its body	 giving it a fresh	 delicious flavor.
303368	Great Minnow	Material	Can be exchanged for 200 points at the Catch 'n' Trade.	A rare wild pale bleak. Rich in amino acids and difficult to catch.
303369	Prime Minnow	Material	Can be exchanged for 220 points at the Catch 'n' Trade.	For some reason	 this minnow has a tag on it. It seems the fish market has taken an interest in it.
303370	Best Minnow	Material	Can be exchanged for 260 points at the Catch 'n' Trade.	For some reason	 this minnow has a tag on it. It seems the fish market has taken an interest in it.
303371	Common Herring	Material	Can be exchanged for 157 points at the Catch 'n' Trade.	Known as one of the four famous fish. Its delicious flavor is even celebrated in poetry.
303372	Good Herring	Material	Can be exchanged for 202 points at the Catch 'n' Trade.	This pacific herring's scales were not damaged when it was caught. Its freshness is truly remarkable.
303373	Great Herring	Material	Can be exchanged for 225 points at the Catch 'n' Trade.	A pacific herring caught using special techniques. Even its internal organs are in perfect condition.
303374	Prime Herring	Material	Can be exchanged for 247 points at the Catch 'n' Trade.	For some reason	 this pacific herring has a tag on it. It seems the fish market has taken an interest in it.
303375	Best Herring	Material	Can be exchanged for 292 points at the Catch 'n' Trade.	For some reason	 this herring has a tag on it. It seems the fish market has taken an interest in it.
303376	Common Masu Salmon	Material	Can be exchanged for 192 points at the Catch 'n' Trade.	One of the most common types of trout in Japan. It is often released into fishing ponds as a popular catch.
303377	Good Masu Salmon	Material	Can be exchanged for 247 points at the Catch 'n' Trade.	A yamame with uniquely colored scales. It prefers artificial bait and is highly valued for both ornamental viewing and fishing.
303378	Great Masu Salmon	Material	Can be exchanged for 275 points at the Catch 'n' Trade.	A mature specimen weighing almost two pounds. Extremely rare and can even substitute for more high-grade trout.
303379	Prime Masu Salmon	Material	Can be exchanged for 302 points at the Catch 'n' Trade.	For some reason	 this yamame has a tag on it. It seems the fish market has taken an interest in it.
303380	Best Masu Salmon	Material	Can be exchanged for 357 points at the Catch 'n' Trade.	For some reason	 this yamame has a tag on it. It seems the fish market has taken an interest in it.
303381	Common Rockfish	Material	Can be exchanged for 210 points at the Catch 'n' Trade.	A widely distributed freshwater fish	 also known as Chinese perch. It has few bones and is easy to eat.
303382	Good Rockfish	Material	Can be exchanged for 270 points at the Catch 'n' Trade.	A rockfish raised with high-quality shrimp and crab. Tastier than regular rockfish.
303383	Great Rockfish	Material	Can be exchanged for 300 points at the Catch 'n' Trade.	A delicacy that can only be caught in a specific season. Said to be used in exquisite fermented dishes.
303384	Prime Rockfish	Material	Can be exchanged for 330 points at the Catch 'n' Trade.	For some reason	 this rockfish has a tag on it. It seems the fish market has taken an interest in it.
303385	Best Rockfish	Material	Can be exchanged for 390 points at the Catch 'n' Trade.	For some reason	 this rockfish has a tag on it. It seems the fish market has taken an interest in it.
303386	Common Sturgeon	Material	Can be exchanged for 227 points at the Catch 'n' Trade.	Migratory fish. Also known as living fossils of the water. They have only cartilage in their bodies and are delicious.
303387	Good Sturgeon	Material	Can be exchanged for 292 points at the Catch 'n' Trade.	A large sturgeon rarely found in fishing ponds. Generally only found in high-difficulty ponds.
303388	Great Sturgeon	Material	Can be exchanged for 325 points at the Catch 'n' Trade.	A sturgeon cultivated for over 10 years. It has eggs in its belly	 which can be used to make caviar.
303389	Prime Sturgeon	Material	Can be exchanged for 357 points at the Catch 'n' Trade.	For some reason	 this sturgeon has a tag on it. It seems the fish market has taken an interest in it.
303390	Best Sturgeon	Material	Can be exchanged for 422 points at the Catch 'n' Trade.	For some reason	 this sturgeon has a tag on it. It seems the fish market has taken an interest in it.
303391	Common Bonito	Material	Can be exchanged for 175 points at the Catch 'n' Trade.	A species of tuna said to be the foundation of the flavor of Japanese cuisine. Often preserved in dried blocks	 which are harder than metal.
303392	Good Bonito	Material	Can be exchanged for 225 points at the Catch 'n' Trade.	A tuna that lives in warm water. Tastier than regular bonito.
303393	Great Bonito	Material	Can be exchanged for 250 points at the Catch 'n' Trade.	A rare large bonito. A valuable catch that's difficult to reel in even in the wild.
303394	Prime Bonito	Material	Can be exchanged for 275 points at the Catch 'n' Trade.	For some reason	 this bonito has a tag on it. It seems the fish market has taken an interest in it.
303395	Best Bonito	Material	Can be exchanged for 325 points at the Catch 'n' Trade.	For some reason	 this bonito has a tag on it. It seems the fish market has taken an interest in it.
303396	Common Jack Mackerel	Material	Can be exchanged for 504 points at the Catch 'n' Trade.	A popular edible fish in Japan. Delicious whether boiled or fried.
303397	Good Jack Mackerel	Material	Can be exchanged for 648 points at the Catch 'n' Trade.	A meaty horse mackerel. It has more fat and is larger than a regular horse mackerel.
303398	Great Jack Mackerel	Material	Can be exchanged for 720 points at the Catch 'n' Trade.	Horse mackerel that can be caught in Saganoseki Town. Known for its high quality	 it is often used as a premium sashimi ingredient.
303399	Prime Jack Mackerel	Material	Can be exchanged for 792 points at the Catch 'n' Trade.	For some reason	 this horse mackerel has a tag on it. It seems the fish market has taken an interest in it.
303400	Best Jack Mackerel	Material	Can be exchanged for 936 points at the Catch 'n' Trade.	For some reason	 this horse mackerel has a tag on it. It seems the fish market has taken an interest in it.
303401	Common Sea Bass	Material	Can be exchanged for 448 points at the Catch 'n' Trade.	A carnivorous fish that feeds on shrimp	 crabs	 and small fish. Its white flesh is extremely firm and elastic.
303402	Good Sea Bass	Material	Can be exchanged for 576 points at the Catch 'n' Trade.	Larger than the average sea bass	 with better meat quality. A classic taste of summer cookouts.
303403	Great Sea Bass	Material	Can be exchanged for 640 points at the Catch 'n' Trade.	A luxury item that can only be purchased by the finest restaurants. Dishes made with this are said to be very expensive.
303404	Prime Sea Bass	Material	Can be exchanged for 704 points at the Catch 'n' Trade.	For some reason	 this sea bass has a tag on it. It seems the fish market has taken an interest in it.
303405	Best Sea Bass	Material	Can be exchanged for 832 points at the Catch 'n' Trade.	For some reason	 this sea bass has a tag on it. It seems the fish market has taken an interest in it.
303406	Common Sole	Material	Can be exchanged for 560 points at the Catch 'n' Trade.	A Chinese tongue sole	 scientifically named "cynoglossus semilaevis". It inhabits the deeper parts of aquaculture ponds and is known for its strong vitality.
303407	Good Sole	Material	Can be exchanged for 720 points at the Catch 'n' Trade.	A large flounder. Due to its unique habitat	 it is known for being difficult to catch.
303408	Great Sole	Material	Can be exchanged for 800 points at the Catch 'n' Trade.	Scientifically proven to contain more nutrients in its body	 this flounder is a delicacy in dietary therapy.
303409	Prime Sole	Material	Can be exchanged for 880 points at the Catch 'n' Trade.	For some reason	 this sole has a tag on it. It seems the fish market has taken an interest in it.
303410	Best Sole	Material	Can be exchanged for 1040 points at the Catch 'n' Trade.	For some reason	 this sole has a tag on it. It seems the fish market has taken an interest in it.
303411	Common Turbot	Material	Can be exchanged for 672 points at the Catch 'n' Trade.	The turbot is one of the largest fish in the sea. Usually only juveniles are released into fishing ponds.
303412	Good Turbot	Material	Can be exchanged for 864 points at the Catch 'n' Trade.	A rare adult turbot. Due to its large size	 it would likely take several people to reel it in.
303413	Great Turbot	Material	Can be exchanged for 960 points at the Catch 'n' Trade.	A turbot weighing over 330 pounds. It has an excellent taste and can even substitute for the more expensive silver cod.
303414	Prime Turbot	Material	Can be exchanged for 1056 points at the Catch 'n' Trade.	For some reason	 this turbot has a tag on it. It seems the fish market has taken an interest in it.
303415	Best Turbot	Material	Can be exchanged for 1248 points at the Catch 'n' Trade.	For some reason	 this turbot has a tag on it. It seems the fish market has taken an interest in it.
303416	Common Pearl-Spot Chromis	Material	Can be exchanged for 448 points at the Catch 'n' Trade.	An invasive fish species that can adapt to many kinds of waters. It has become a problem even in fishing ponds due to overbreeding.
303417	Good Pearl-Spot Chromis	Material	Can be exchanged for 576 points at the Catch 'n' Trade.	A large pearl-spot chromis. It has a lot of meat and few bones	 and can be sold at a high price.
303418	Great Pearl-Spot Chromis	Material	Can be exchanged for 640 points at the Catch 'n' Trade.	A rarely seen pearl-spot chromis. Even the most common ones can be sold at a high price.
303419	Prime Pearl-Spot Chromis	Material	Can be exchanged for 704 points at the Catch 'n' Trade.	For some reason	 this pearl-spot chromis has a tag on it. It seems the fish market has taken an interest in it.
303420	Best Pearl-Spot Chromis	Material	Can be exchanged for 832 points at the Catch 'n' Trade.	For some reason	 this pearl-spot chromis has a tag on it. It seems the fish market has taken an interest in it.
303421	Common Malabar Grouper	Material	Can be exchanged for 784 points at the Catch 'n' Trade.	A slow-swimming fish. Due to its unique body structure	 it is suitable for longline and handline fishing.
303422	Good Malabar Grouper	Material	Can be exchanged for 1008 points at the Catch 'n' Trade.	A Malabar grouper which was bought for a high price by the fishing pond owner. It's delicious and always worth catching.
303423	Great Malabar Grouper	Material	Can be exchanged for 1120 points at the Catch 'n' Trade.	Due to its immense size	 it has become the king of the fishing pond. None can conquer it.
303424	Prime Malabar Grouper	Material	Can be exchanged for 1232 points at the Catch 'n' Trade.	For some reason	 this malabar grouper has a tag on it. It seems the fish market has taken an interest in it.
303425	Best Malabar Grouper	Material	Can be exchanged for 1456 points at the Catch 'n' Trade.	For some reason	 this malabar grouper has a tag on it. It seems the fish market has taken an interest in it.
303426	Common Catfish	Material	Can be exchanged for 560 points at the Catch 'n' Trade.	Edible catfish that can be found anywhere. The taste is nothing special	 but it's a popular catch.
303427	Good Catfish	Material	Can be exchanged for 720 points at the Catch 'n' Trade.	A catfish that has grown especially fat. When grilled	 it becomes very flavorful and delicious.
303428	Great Catfish	Material	Can be exchanged for 800 points at the Catch 'n' Trade.	A catfish with especially long whiskers. While the taste is no different than usual	 it has high ornamental value.
303429	Prime Catfish	Material	Can be exchanged for 880 points at the Catch 'n' Trade.	For some reason	 this catfish has a tag on it. It seems the fish market has taken an interest in it.
303430	Best Catfish	Material	Can be exchanged for 1040 points at the Catch 'n' Trade.	For some reason	 this catfish has a tag on it. It seems the fish market has taken an interest in it.
303431	Common Flathead Mullet	Material	Can be exchanged for 504 points at the Catch 'n' Trade.	A very active and intelligent fish	 which often swims in a zigzag pattern. It makes for an interesting fishing target.
303432	Good Mullet	Material	Can be exchanged for 648 points at the Catch 'n' Trade.	A larger and more lively mullet. Extremely difficult to catch.
303433	Great Mullet	Material	Can be exchanged for 720 points at the Catch 'n' Trade.	Mullet in its breeding season. It can be used to prepare rare and expensive dishes such as karasumi.
303434	Prime Mullet	Material	Can be exchanged for 792 points at the Catch 'n' Trade.	For some reason	 this mullet has a tag on it. It seems the fish market has taken an interest in it.
303435	Best Flathead Mullet	Material	Can be exchanged for 936 points at the Catch 'n' Trade.	For some reason	 this mullet has a tag on it. It seems the fish market has taken an interest in it.
303551	Red Sanke Koi	Material	Can be exchanged for 3300 points at the Catch 'n' Trade.	Vividly colored koi. A rare fish that can only be caught under special conditions.
303552	Moonfish	Material	Can be exchanged for 2400 points at the Catch 'n' Trade.	A large fish with scales the color of roses. It has a beautiful shape reminiscent of the moon. A rare fish that can only be caught under special conditions.
303553	Chinook Salmon	Material	Can be exchanged for 2700 points at the Catch 'n' Trade.	As the name suggests	 it is the largest salmon. It is also a rare fish that can only be caught under special conditions.
303554	Black Sanke Koi	Material	Can be exchanged for 3600 points at the Catch 'n' Trade.	Vividly colored koi. A rare fish that can only be caught under special conditions.
303555	White Butterfly Koi	Material	Can be exchanged for 3000 points at the Catch 'n' Trade.	Its entire body is pure white and unblemished	 with fins and a tail resembling a celestial maiden's robe. A rare fish that can be caught under special conditions.
304000	Rice	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304001	Flour	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304002	Eggs	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304003	Milk	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304004	Sugar	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304005	Soy Sauce	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304006	Vinegar	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304007	Miso	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304008	Wasabi	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304009	Matcha	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304010	Tofu	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304011	Glutinous Rice	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304012	Azuki Beans	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304013	Curry Roux	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304014	Mung Beans	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304015	Lychee	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304016	Almonds	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304017	Luxury Chinese Tea	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304018	Shaoxing Wine	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304019	Leek	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304020	Garlic	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
304021	Pork	Ingredient	Used to cook in your home kitchen.	<color=#ffffff>  </color>
